,RRIntervals,Time,Flag
648,0.825,525.6669999999996,0
649,0.829,526.4919999999996,0
650,0.805,527.3209999999996,0
651,0.824,528.1259999999995,0
652,0.839,528.9499999999995,0
653,0.848,529.7889999999995,0
654,0.807,530.6369999999995,0
655,0.805,531.4439999999995,0
656,0.795,532.2489999999995,0
657,0.798,533.0439999999994,0
658,0.76,533.8419999999994,0
659,0.784,534.6019999999994,0
660,0.796,535.3859999999994,0
661,0.809,536.1819999999994,0
662,0.788,536.9909999999994,0
663,0.802,537.7789999999994,0
664,0.812,538.5809999999994,0
665,0.841,539.3929999999995,0
666,0.838,540.2339999999995,0
667,0.82,541.0719999999994,0
668,0.842,541.8919999999995,7
669,0.876,542.7339999999995,7
670,0.835,543.6099999999994,7
671,0.759,544.4449999999995,7
672,0.715,545.2039999999995,7
673,0.679,545.9189999999995,7
674,0.711,546.5979999999995,7
675,0.78,547.3089999999995,7
676,0.762,548.0889999999995,7
677,0.803,548.8509999999994,7
678,0.822,549.6539999999994,7
679,0.819,550.4759999999994,7
680,0.81,551.2949999999994,7
681,0.837,552.1049999999993,7
682,0.864,552.9419999999993,7
683,0.814,553.8059999999994,7
684,0.817,554.6199999999993,7
685,0.821,555.4369999999993,7
686,0.827,556.2579999999994,0
687,0.784,557.0849999999994,0
688,0.766,557.8689999999993,0
689,0.715,558.6349999999993,0
690,0.679,559.3499999999993,0
691,0.707,560.0289999999993,0
692,0.764,560.7359999999993,0
693,0.758,561.4999999999993,0
694,0.81,562.2579999999994,0
695,0.845,563.0679999999993,0
696,0.876,563.9129999999993,0
697,0.857,564.7889999999993,0
698,0.833,565.6459999999993,0
699,0.829,566.4789999999992,0
700,0.858,567.3079999999992,0
701,0.859,568.1659999999991,0
702,0.774,569.0249999999992,0
703,0.786,569.7989999999992,0
704,0.807,570.5849999999991,0
705,0.801,571.3919999999991,0
706,0.728,572.1929999999992,0
707,0.698,572.9209999999991,0
708,0.731,573.6189999999991,0
709,0.771,574.3499999999991,0
710,0.759,575.1209999999991,0
711,0.777,575.8799999999991,0
712,0.8,576.6569999999991,0
713,0.813,577.4569999999991,0
714,0.74,578.2699999999991,0
715,0.706,579.0099999999991,0
716,0.741,579.7159999999991,0
717,0.819,580.4569999999991,0
718,0.886,581.275999999999,0
719,0.891,582.161999999999,0
720,0.821,583.052999999999,0
721,0.82,583.873999999999,0
722,0.823,584.693999999999,0
723,0.803,585.516999999999,0
724,0.744,586.319999999999,0
725,0.756,587.063999999999,0
726,0.767,587.819999999999,0
727,0.816,588.5869999999991,0
728,0.797,589.4029999999991,0
